Company,Industry,Employees,Funding,Website_Traffic,Email_Response_Rate,Lead_Score
AlphaTech,Software,120,2500000,4500,0.15,High
BetaCorp,Finance,80,1000000,3200,0.08,Medium
GammaWorks,Healthcare,60,500000,2100,0.05,Low
DeltaAI,Software,200,5000000,7000,0.18,High
EpsilonData,Marketing,45,300000,1500,0.03,Low
ZetaSolutions,Retail,100,800000,2500,0.06,Medium
OmicronLabs,Biotech,150,4000000,5000,0.12,High
ThetaGlobal,Finance,70,1200000,2800,0.07,Medium
SigmaSoft,Software,90,2000000,4100,0.11,High
LambdaTech,Marketing,55,700000,1800,0.04,Low
NovaSystems,Software,130,2700000,4800,0.14,High
OrionAnalytics,Finance,110,1500000,3600,0.09,Medium
PioneerHealth,Healthcare,95,950000,3000,0.06,Medium
QuantumAI,Software,210,5200000,7200,0.17,High
RisingEdge,Marketing,40,280000,1300,0.02,Low
StellarData,Retail,85,900000,2400,0.07,Medium
TechPulse,Software,175,3500000,6300,0.16,High
UmbraLabs,Biotech,140,4200000,5100,0.13,High
VertexFinance,Finance,60,800000,2200,0.05,Low
WaveSystems,Software,95,1800000,4000,0.10,Medium
XenonMedia,Marketing,50,600000,1700,0.04,Low
YieldAI,Software,190,4700000,6900,0.16,High
ZenithCorp,Finance,75,950000,2600,0.07,Medium
ApexData,Healthcare,120,1500000,3400,0.09,Medium
BluePeak,Software,160,3000000,5900,0.14,High
CoreLink,Marketing,60,650000,2000,0.05,Low
DataForge,Retail,105,1000000,2800,0.08,Medium
EchoHealth,Healthcare,80,850000,2900,0.07,Medium
FusionAI,Software,220,5500000,7500,0.18,High
GreenField,Biotech,130,3100000,4800,0.11,High
HorizonTech,Software,140,2500000,5200,0.13,High
InnovaFinance,Finance,65,900000,2300,0.06,Medium
JupiterMedia,Marketing,70,700000,1900,0.05,Low
KineticSystems,Software,180,3600000,6100,0.15,High
LuminaData,Retail,90,950000,2600,0.07,Medium
MediCore,Healthcare,110,1300000,3300,0.09,Medium
NeoAI,Software,195,5000000,7100,0.17,High
OptimaFinance,Finance,85,1000000,3000,0.08,Medium
PulseMedia,Marketing,50,500000,1600,0.04,Low
QuantumData,Software,210,6000000,7600,0.18,High
RedwoodLabs,Biotech,125,2900000,4600,0.11,High
SkylineTech,Software,155,2800000,5500,0.13,High
TitanFinance,Finance,95,1200000,3200,0.08,Medium
UnityMarketing,Marketing,60,650000,1800,0.05,Low
VisionSoft,Software,170,4000000,6200,0.15,High
WellCare,Healthcare,90,1100000,3100,0.08,Medium
XploreAI,Software,185,4500000,6800,0.16,High
YieldFinance,Finance,70,850000,2400,0.06,Medium
ZenMedia,Marketing,55,600000,1700,0.04,Low
